name,status,detail,size_orig,size_compiled,first_diff_offset
corpse_diseased.bin,OK_ROUNDTRIP,,1761,1761,
corpse_diseased_alive.bin,OK_ROUNDTRIP,,1771,1771,
corpse_fire.bin,OK_ROUNDTRIP,,1374,1374,
cs_burah_danko_microscope.bin,OK_ROUNDTRIP,,2063,2063,
cs_play_all.bin,OK_ROUNDTRIP,,323,323,
cs_play_all_lsh.bin,OK_ROUNDTRIP,,356,356,
cs_play_all_lsh_trigger.bin,OK_ROUNDTRIP,,229,229,
cs_play_all_trigger.bin,OK_ROUNDTRIP,,196,196,
cs_play_animation_with_cycled_lsh.bin,OK_ROUNDTRIP,,412,412,
cs_play_cycle.bin,OK_ROUNDTRIP,,181,181,
cutscene_d1_01.bin,SCOMP_ERROR,"Error during compilation: ""Variable ""_null_obj"" not found (compiling: ""t1::init"")""",4912,0,
cutscene_d1_01_alkash.bin,LIFT_ERROR,JumpB target 0x401 not in current body,28216,0,
cutscene_d1_01_woman.bin,LIFT_ERROR,unstructured Jump at 0x4a2 -> 0x4b6,22086,0,
cutscene_d1_01_worker.bin,LIFT_ERROR,JumpB target 0x401 not in current body,28216,0,
d2q01_house1.bin,BIN_MISMATCH,,1132,1065,0x6
dapparatus.bin,OK_ROUNDTRIP,,376,376,
disease_object.bin,OK_ROUNDTRIP,,954,954,
disp_idler.bin,OK_ROUNDTRIP,,1854,1854,
door_locked.bin,OK_ROUNDTRIP,,264,264,
dummy_dead.bin,OK_ROUNDTRIP,,382,382,
final_door.bin,OK_ROUNDTRIP,,1211,1211,
final_quest_actor.bin,OK_ROUNDTRIP,,788,788,
fire.bin,OK_ROUNDTRIP,,679,679,
fire_klara_attack.bin,OK_ROUNDTRIP,,2184,2184,
fireplace.bin,OK_ROUNDTRIP,,1332,1332,
fog.bin,LIFT_ERROR,JumpB target 0x150 not in current body,7403,0,
fog_hunter.bin,LIFT_ERROR,JumpB target 0x201 not in current body,9655,0,
fog_stat.bin,SCOMP_ERROR,"Error during compilation: ""Variable ""_null_obj"" not found (compiling: ""t1::init"")""",2808,0,
fog_stat_indoor.bin,SCOMP_ERROR,"Error during compilation: ""Variable ""_null_obj"" not found (compiling: ""t1::init"")""",3046,0,
follower.bin,LIFT_ERROR,JumpB target 0x84 not in current body,3514,0,
fontan_water.bin,OK_ROUNDTRIP,,1389,1389,
gatherer1.bin,OK_ROUNDTRIP,,18029,18029,
gatherer2.bin,OK_ROUNDTRIP,,14400,14400,
gatherer3.bin,OK_ROUNDTRIP,,14241,14241,
girl_mnogogrannik.bin,LIFT_ERROR,unstructured Jump at 0x4ac -> 0x4c0,22556,0,
grabitel.bin,LIFT_ERROR,JumpB target 0x14a not in current body,30558,0,
grabitel_knife.bin,BIN_MISMATCH,,3724,3714,0x252
grenade.bin,BIN_MISMATCH,,4501,4491,0x315
guard.bin,LIFT_ERROR,JumpB target 0x265 not in current body,23388,0,
gun_sentry.bin,SCOMP_ERROR,"Error during compilation: ""Variable ""_null_obj"" not found (compiling: ""t0::init"")""",21325,0,
horror_fog.bin,LIFT_ERROR,JumpB target 0xb5 not in current body,5330,0,
hunter.bin,LIFT_ERROR,JumpB target 0x144 not in current body,23078,0,
hunter_berserk.bin,LIFT_ERROR,JumpB target 0x144 not in current body,19562,0,
icitizen_boy.bin,LIFT_ERROR,JumpB target 0xd6c not in current body,55383,0,
icitizen_girl.bin,LIFT_ERROR,unstructured Jump at 0x4d4 -> 0x4e8,53529,0,
icitizen_littleboy.bin,LIFT_ERROR,unstructured Jump at 0x4d4 -> 0x4e8,50460,0,
icitizen_littlegirl.bin,LIFT_ERROR,unstructured Jump at 0x4d4 -> 0x4e8,33551,0,
